,fiscal_year,total_spending,transaction_count,average_payment,pct_change,pct_change_percent
0,2008,19879214690.5,19392,1025124.5199308994,,
1,2009,21332447618.170002,20160,1058157.123917163,0.07310313562660409,7.310313562660409
2,2010,21539475152.65,19841,1085604.311912202,0.009704818602421561,0.9704818602421561
3,2011,22934297775.31,20141,1138687.1443974976,0.06475657427931325,6.475657427931325
4,2012,23161189954.97,19474,1189339.1165127864,0.009893138298058712,0.9893138298058712
5,2013,23513627923.59,19732,1191649.4994724307,0.015216747036970402,1.5216747036970402
6,2014,25276062611.34,19906,1269771.0545232594,0.0749537542006371,7.49537542006371
7,2015,27191588192.03,19918,1365176.6338000803,0.0757841761252247,7.57841761252247
8,2016,27359576439.27,19537,1400398.036508676,0.006177949079459788,0.6177949079459788
9,2017,29306316834.44,19901,1472605.2376483593,0.0711538937560372,7.11538937560372
10,2018,29596397070.73,19516,1516519.6285473458,0.009898215389151366,0.9898215389151366
11,2019,30320726617.77,20067,1510974.5660920916,0.02447357174283704,2.447357174283704
12,2020,32926283982.95,21520,1530031.783594331,0.08593320991367559,8.593320991367559
13,2021,34670078096.04,23806,1456358.8211392087,0.05296055011834855,5.296055011834855
14,2022,36656748837.5,23979,1528702.1492764503,0.05730217093704537,5.730217093704537
15,2023,39277722859.479996,22320,1759754.6083996415,0.07150044957884338,7.150044957884338
16,2024,40390013646.72,22614,1786062.335133988,0.028318616922354156,2.8318616922354156
17,2025,43703480470.19,23221,1882067.1146888593,0.08203678395486458,8.203678395486458
18,2026,32709299358.85,19772,1654324.2645584664,-0.2515630561469606,-25.156305614696063
